,x
1,1427728
2,1428329
3,1428666
4,1428744
5,1428997
6,1429145
7,1429271
8,1429448
9,1429587
10,1430390
11,1430399
12,1430421
13,1430460
14,1430477
15,1431137
16,1431369
17,1431835
18,1431843
19,1431898
20,1432134
21,1432684
22,1432728
23,1432836
24,1432899
25,1433840
26,1433874
27,1433958
28,1433979
29,1433988
30,1433990
31,1434065
32,1434265
33,1434442
34,1434513
35,1434579
36,1434721
37,1435208
38,1435256
39,1435324
40,1435445
41,1436145
42,1436286
43,1436390
44,1436707
45,1436796
46,1436806
47,1436856
48,1436915
49,1437240
50,1437493
51,1437586
52,1437653
53,1437796
54,1438026
55,1438490
56,1438872
57,1439230
58,1439365
59,1439801
60,1440268
61,1440300
62,1440493
63,1440582
64,1440869
65,1440873
66,1440903
67,1440974
68,1441050
69,1441111
70,1441162
71,1441197
72,1441503
73,1441543
74,1441920
75,1442130
76,1442134
77,1442176
78,1442255
79,1442326
80,1442394
81,1442447
82,1442507
83,1442708
84,1442912
85,1443062
86,1443142
87,1443258
88,1443266
89,1443286
90,1443602
91,1443647
92,1443760
93,1444140
94,1444234
95,1444280
96,1444311
97,1444351
98,1444525
99,1444659
100,1444756
101,1445458
102,1445481
103,1446024
104,1446291
105,1446394
106,1446552
107,1446667
108,1447674
109,1447720
110,1447761
111,1447954
112,1447955
113,1448055
114,1448214
115,1448256
116,1448285
117,1448322
118,1448494
119,1449242
120,1449648
121,1449750
122,1449944
123,1450006
124,1450195
125,1450469
126,1450502
127,1450549
128,1450771
129,1450849
130,1451050
131,1451450
132,1451583
133,1451682
134,1451757
135,1452254
136,1452458
137,1452754
138,1452786
139,1452853
140,1452933
141,1453128
142,1453185
143,1453244
144,1453303
145,1453342
146,1453627
147,1453951
148,1454244
149,1454480
150,1454531
151,1454727
152,1454767
153,1454793
154,1454846
155,1455061
156,1455142
157,1455156
158,1455427
159,1455611
160,1455740
161,1456141
162,1456204
163,1456289
164,1456318
165,1456349
166,1456405
167,1456460
168,1456702
169,1456726
170,1456732
171,1456905
172,1456970
173,1457056
174,1457243
175,1457311
176,1457509
177,1457893
178,1457906
179,1457978
180,1457993
181,1458032
182,1458058
183,1458246
184,1458361
185,1458435
186,1458720
187,1458938
188,1459322
189,1459407
190,1459438
191,1459539
192,1459777
193,1459978
194,1460019
195,1460420
196,1460605
197,1460716
198,1460723
199,1461107
200,1461111
201,1461127
202,1461279
203,1461458
204,1461754
205,1461772
206,1461823
207,1462126
208,1462230
209,1462254
210,1462269
211,1462391
212,1462493
213,1462644
214,1462906
215,1462974
216,1462998
217,1463426
218,1463443
219,1463548
220,1463966
221,1464044
222,1464291
223,1464415
224,1464475
225,1464691
226,1464850
227,1464980
228,1465373
229,1465378
230,1465506
231,1465631
232,1465740
233,1465887
234,1465924
235,1466121
236,1466135
237,1466382
238,1466474
239,1466545
240,1466578
241,1466774
242,1467019
243,1467128
244,1467494
245,1467653
246,1467697
247,1468088
248,1468093
249,1468377
250,1468518
251,1468579
252,1468898
253,1469045
254,1469137
255,1469259
256,1469439
257,1469594
258,1470204
259,1470246
260,1470342
261,1470359
262,1470375
263,1470554
264,1470633
265,1470915
266,1470946
267,1471125
268,1471654
269,1472272
270,1472407
271,1472965
272,1473025
273,1473140
274,1473170
275,1473560
276,1473622
277,1473753
278,1473883
279,1474079
280,1474166
281,1474193
282,1474392
283,1474519
284,1474537
285,1475038
286,1475204
287,1475336
288,1475371
289,1475580
290,1475725
291,1475750
292,1475998
293,1476184
294,1476397
295,1476424
296,1476449
297,1476688
298,1476965
299,1476989
300,1477000
301,1477028
302,1477066
303,1477067
304,1477133
305,1477151
306,1477366
307,1477395
308,1477451
309,1477515
310,1477545
311,1477553
312,1477636
313,1477757
314,1477922
315,1477939
316,1478236
317,1478610
318,1478709
319,1478890
320,1479036
321,1479256
322,1479344
323,1479596
324,1479716
325,1479762
326,1479895
327,1479972
328,1480480
329,1480497
330,1480573
331,1480640
332,1480691
333,1480704
334,1480954
335,1481391
336,1481517
337,1481614
338,1481904
339,1481994
340,1482086
341,1482260
342,1482817
343,1482872
344,1482906
345,1483738
346,1483777
347,1483900
348,1483947
349,1484172
350,1484530
351,1484594
352,1484710
353,1485103
354,1485138
355,1485315
356,1485412
357,1485639
358,1485765
359,1486492
360,1486655
361,1486727
362,1486986
363,1487010
364,1487050
365,1487278
366,1487372
367,1487385
368,1487494
369,1487557
370,1487576
371,1487784
372,1487830
373,1487949
374,1488126
375,1488144
376,1488191
377,1488285
378,1488320
379,1488804
