"","x"
"1",1430077
"2",1439716
"3",1443766
"4",1476553
"5",1476861
"6",1477773
"7",1487006
"8",1487552
"9",1489689
"10",1491451
"11",1492701
"12",1500422
"13",1522315
"14",1541787
"15",1546178
"16",1562042
"17",1589840
"18",1591111
"19",1609688
"20",1612379
"21",1615289
"22",1620706
"23",1629623
"24",1629651
"25",1632403
"26",1633320
"27",1645936
"28",1660753
"29",1664329
"30",1684685
"31",1687613
"32",1695526
"33",1702654
"34",1709250
"35",1717081
"36",1722214
"37",1726444
"38",1726504
"39",1740966
"40",1747303
"41",1753839
"42",1762390
"43",1775292
"44",1781818
"45",1785605
"46",1786562
"47",1792437
"48",1793447
"49",1793917
"50",1794981
"51",1796794
"52",1814795
